listing_id,available_date,available,price,minimum_nights,maximum_nights
2482916,10/21/2020,f,500,1,1125
2483752,10/20/2020,f,225,1,1125
2488935,10/20/2020,f,650,3,14
2489487,10/24/2020,f,775,1,1125
2489196,10/24/2020,f,95,2,10
2492407,10/20/2020,f,120,2,20
2493870,10/22/2020,t,450,4,1125
2493385,10/20/2020,t,400,2,1125
2496308,10/20/2020,f,100,2,10
2499077,10/21/2020,t,150,1,1125
2498866,10/22/2020,t,275,1,1125
2500385,10/20/2020,f,65,1,1125
2501144,10/22/2020,f,100,1,14
2501145,10/23/2020,t,200,1,1125
2501888,10/21/2020,t,88,1,14
2509594,10/20/2020,f,400,1,6
2502431,10/20/2020,f,175,2,1125
2502288,10/24/2020,f,115,2,14
2512706,10/22/2020,f,200,1,1125
2516299,10/23/2020,f,185,2,5
2514966,10/22/2020,f,999,1,1125
2519952,10/20/2020,f,200,1,1125
2521310,10/20/2020,f,225,1,1125
2521003,10/20/2020,t,125,2,5
2526099,10/22/2020,f,180,1,5
2524101,10/20/2020,f,59,1,100
2521443,10/22/2020,f,165,28,60
2528829,10/22/2020,t,300,1,1125
2528473,10/21/2020,f,65,1,1125
2529203,10/20/2020,f,198,2,1125
2546012,10/22/2020,f,83,30,1125
2546818,10/20/2020,f,73,3,90
2551278,10/22/2020,f,70,1,1125
2553977,10/20/2020,f,120,3,1125
2556255,10/22/2020,f,180,1,1125
2592427,10/20/2020,t,75,1,100
2594010,10/20/2020,f,89,2,1125
2650844,10/23/2020,f,440,3,1125
2639623,10/21/2020,f,119,2,60
2657000,10/22/2020,f,70,30,1125
2665394,10/20/2020,f,155,14,300
2663425,10/20/2020,f,899,3,1125
2677765,10/20/2020,f,119,2,7
2708067,10/20/2020,f,250,3,1125
2665977,10/21/2020,t,90,2,7
2723009,10/20/2020,f,500,2,14
2716088,10/21/2020,f,150,2,1125
2736478,10/20/2020,f,120,7,180
2774094,10/20/2020,f,125,2,1125
2746300,10/24/2020,f,70,14,1125
2832008,10/20/2020,f,160,3,1125
2832087,10/20/2020,f,170,2,1125
2855422,10/20/2020,f,120,2,1125
2855712,10/22/2020,f,165,,
2885662,10/20/2020,f,1000,3,1125
2867059,10/22/2020,f,62,2,1125
2902979,10/20/2020,f,175,1,365
2924714,10/22/2020,f,150,2,1125
2914322,10/22/2020,f,500,3,5
2964193,10/20/2020,f,375,2,1125
2926708,10/20/2020,f,1200,2,1125
2979070,10/22/2020,t,150,1,1125
2967072,10/22/2020,f,425,3,1125
2979222,10/22/2020,f,260,,
2984602,10/20/2020,f,139,2,1125
2989481,10/20/2020,f,179,2,1125
2989235,10/20/2020,f,200,2,10
2992224,10/22/2020,f,145,,
2989616,10/21/2020,f,35,30,90
3013429,10/24/2020,t,796,1,1125
3028269,10/20/2020,f,60,1,7
2994424,10/22/2020,f,169,2,1125
3032156,10/20/2020,f,175,2,1125
3053308,10/20/2020,f,48,30,1125
3091862,10/22/2020,f,525,3,1125
3104453,10/20/2020,t,131,1,365
3104715,10/20/2020,t,118,1,365
3124593,10/22/2020,t,650,,
3122479,10/22/2020,t,363,1,365
3125271,10/22/2020,f,250,2,4
3151369,10/20/2020,t,149,1,1125
3130995,10/24/2020,t,222,2,1125
3154788,10/20/2020,t,105,30,1125
3158012,10/20/2020,f,75,30,1125
3214547,10/22/2020,t,700,3,1125
3163510,10/22/2020,t,78,1,1125
3225770,10/20/2020,f,176,30,120
3229143,10/20/2020,f,160,3,1125
3230604,10/20/2020,f,149,1,1125
3271751,10/24/2020,f,89,5,330
3271554,10/20/2020,f,57,31,180
3281553,10/22/2020,f,349,2,60
3294079,10/20/2020,f,85,3,1125
3294395,10/20/2020,f,199,1,1125
3294758,10/20/2020,f,108,2,40
3349126,10/20/2020,f,119,1,365
3349943,10/24/2020,f,249,1,365
3349679,10/22/2020,t,202,1,365
3353855,10/24/2020,f,35,1,32
3386939,10/22/2020,f,113,1,1125
3404974,10/21/2020,f,129,2,30
3416245,10/21/2020,f,175,2,90
3424259,10/20/2020,t,63,1,1125
3441118,10/20/2020,f,380,30,30
3432804,10/24/2020,f,600,3,1125
3475010,10/20/2020,f,109,1,1125
3478000,10/22/2020,f,159,2,1125
3495822,10/22/2020,f,55,1,10
3504013,10/22/2020,f,115,31,1125
3534046,10/20/2020,f,64,19,1125
3513732,10/20/2020,f,215,1,1125
3539813,10/20/2020,f,115,2,11
3539968,10/20/2020,f,100,3,1125
3543315,10/20/2020,f,500,1,1125
3543410,10/20/2020,f,81,2,1125
3548997,10/20/2020,t,117,1,365
3549443,10/20/2020,t,119,1,365
3543027,10/20/2020,f,750,2,21
3549253,10/24/2020,f,228,1,365
3594213,10/23/2020,f,150,30,1125
3609272,10/20/2020,t,118,1,365
3603024,10/20/2020,t,89,1,30
3613678,10/20/2020,f,200,2,1125
3615030,10/22/2020,t,599,1,1125
3629021,10/22/2020,f,65,68,1125
3637181,10/22/2020,f,150,30,1125
3649811,10/20/2020,t,385,1,1125
3667392,10/20/2020,f,174,1,365
3655306,10/20/2020,f,175,2,1125
3689085,10/22/2020,f,99,2,1125
3720498,10/20/2020,f,400,1,5
3781742,10/20/2020,f,250,3,3
3757576,10/20/2020,f,450,2,14
3791735,10/20/2020,f,150,2,60
3791074,10/22/2020,f,400,1,7
3801572,10/22/2020,f,53,2,1125
3802304,10/20/2020,t,155,2,1125
3828619,10/20/2020,f,36,2,1125
3840726,10/21/2020,t,149,2,28
3831262,10/20/2020,f,59,1,1125
3862246,10/20/2020,t,28,1,2
3868266,10/20/2020,f,60,30,356
3876436,10/22/2020,f,200,1,1125
3875997,10/22/2020,f,289,3,14
3882146,10/20/2020,f,99,30,1125
3883966,10/22/2020,f,999,2,7
3882984,10/20/2020,f,57,90,1125
3904915,10/20/2020,f,120,7,1125
3893861,10/21/2020,f,45,30,90
3905528,10/20/2020,t,300,1,4
3911693,10/24/2020,f,95,30,1125
3913413,10/20/2020,f,100,2,1125
3916923,10/22/2020,f,1600,2,1124
3916583,10/22/2020,f,150,2,1125
3928248,10/21/2020,f,38,5,1125
3939734,10/20/2020,f,75,1,1125
3931350,10/20/2020,f,250,1,1125
3946696,10/22/2020,f,123,3,1125
3947145,10/20/2020,f,95,1,9
3959242,10/20/2020,f,150,2,1125
3958601,10/24/2020,t,444,2,1125
202753,10/20/2020,f,175,3,14
207054,10/22/2020,f,135,2,1125
208897,10/20/2020,f,189,2,1125
219168,10/22/2020,f,250,2,60
221451,10/20/2020,f,75,1,365
222967,10/20/2020,f,185,4,60
222986,10/20/2020,f,500,4,90
224603,10/22/2020,f,105,28,365
227372,10/22/2020,f,295,1,1125
228217,10/22/2020,t,350,4,14
233930,10/24/2020,f,181,5,365
237705,10/20/2020,f,135,1,15
238657,10/20/2020,t,150,2,760
240541,10/22/2020,f,39,1,6
248515,10/20/2020,f,150,2,90
247770,10/20/2020,f,175,2,75
3961373,10/22/2020,f,75,5,1125
271052,10/24/2020,t,350,3,365
2265,10/20/2020,f,170,7,180
5245,10/20/2020,f,100,30,60
4311590,10/20/2020,f,150,1,1125
3979017,10/22/2020,f,72,,
5456,10/20/2020,f,89,2,90
3979249,10/22/2020,t,500,1,1125
4330057,10/20/2020,f,350,2,1125
5636,10/20/2020,f,46,30,90
3988298,10/20/2020,t,80,1,1125
4333425,10/22/2020,f,275,2,1125
5769,10/21/2020,f,39,1,14
6413,10/20/2020,f,99,30,1125
4340903,10/22/2020,f,42,2,1125
4341443,10/21/2020,f,45,30,1125
6448,10/20/2020,f,139,3,1125
3999345,10/20/2020,f,1250,2,10
4341467,10/20/2020,t,1100,1,1125
21126,10/20/2020,f,169,1,365
4347022,10/20/2020,f,1000,1,1125
3999556,10/20/2020,f,350,3,1125
4351493,10/22/2020,t,180,3,1125
4356661,10/20/2020,f,75,1,1125
22166,10/20/2020,f,150,30,365
4358441,10/22/2020,f,150,,
22828,10/20/2020,f,50,31,365
22982,10/20/2020,f,125,2,1125
4378321,10/20/2020,f,250,1,1125
4385481,10/20/2020,f,550,1,1125
4012735,10/22/2020,f,50,4,1125
25028,10/24/2020,f,117,7,365
4402297,10/23/2020,f,250,2,1125
4403398,10/20/2020,t,125,2,1125
4403427,10/20/2020,t,125,2,1125
32396,10/20/2020,f,55,1,7
4013309,10/20/2020,t,137,2,1125
4417363,10/20/2020,f,79,2,1125
37324,10/22/2020,f,35,30,730
39993,10/20/2020,f,59,2,14
4013329,10/24/2020,f,122,1,1125
4431533,10/21/2020,f,389,4,1125
40285,10/21/2020,t,350,2,30
4014472,10/20/2020,f,122,2,1125
4435703,10/22/2020,f,160,1,1125
46929,10/20/2020,f,89,2,1125
4025723,10/20/2020,f,109,2,90
4441722,10/24/2020,f,120,2,1125
4030864,10/20/2020,f,200,2,1125
47572,10/20/2020,f,34,30,180
4032235,10/20/2020,f,265,1,1125
50318,10/22/2020,f,130,30,1125
56690,10/20/2020,f,150,2,1125
4036932,10/22/2020,f,145,2,1125
57187,10/22/2020,f,73,1,15
4446513,10/20/2020,t,600,1,1125
68130,10/20/2020,t,51,2,1125
69303,10/20/2020,f,149,1,90
4452791,10/22/2020,t,125,2,1125
4453016,10/22/2020,t,110,2,1125
4461416,10/20/2020,f,199,2,1125
4464432,10/22/2020,f,299,3,1125
69352,10/22/2020,f,159,2,45
69810,10/20/2020,f,110,2,1125
70258,10/20/2020,t,225,2,28
70812,10/20/2020,f,150,2,1125
4037342,10/22/2020,f,95,2,90
4479218,10/22/2020,f,500,3,1125
72318,10/22/2020,f,225,3,300
4481798,10/20/2020,f,1500,5,14
4495324,10/20/2020,f,250,1,1125
72633,10/22/2020,f,470,2,14
72833,10/20/2020,f,85,3,1125
4508376,10/20/2020,t,1500,2,29
72876,10/20/2020,f,49,3,100
4037944,10/20/2020,f,249,2,1125
4516994,10/22/2020,f,170,2,1125
73005,10/22/2020,f,230,2,1125
73289,10/20/2020,f,112,30,1125
4040064,10/22/2020,f,495,4,1125
4538217,10/20/2020,f,10000,30,900
74318,10/20/2020,f,90,2,1825
75174,10/20/2020,f,125,2,1125
4545175,10/22/2020,f,162,,
4046196,10/20/2020,f,50,1,15
4573192,10/20/2020,f,200,30,1125
4047192,10/20/2020,f,229,1,1125
4580330,10/20/2020,f,400,3,1125
75957,10/24/2020,t,98,2,10
4047344,10/22/2020,f,104,4,1125
4588823,10/20/2020,t,238,2,1125
4596762,10/20/2020,f,120,1,1125
76497,10/20/2020,f,170,2,1125
4047528,10/24/2020,f,241,4,1125
4613275,10/21/2020,f,1200,1,1125
4622156,10/20/2020,t,350,3,1125
76501,10/20/2020,f,100,2,365
4050950,10/22/2020,t,70,1,365
4628659,10/20/2020,t,125,2,45
76911,10/22/2020,f,620,2,1125
4053713,10/20/2020,f,299,2,1125
76925,10/20/2020,f,400,2,8
4645766,10/20/2020,f,139,2,1125
76996,10/20/2020,f,80,20,360
4054044,10/23/2020,f,148,2,1125
4662867,10/21/2020,t,65,1,1125
77635,10/22/2020,f,175,2,1125
77639,10/22/2020,f,149,2,730
4663369,10/22/2020,f,130,2,1125
77998,10/22/2020,f,190,2,1125
4060699,10/20/2020,f,79,2,1125
4678565,10/22/2020,f,399,120,1125
78035,10/20/2020,f,750,3,60
4719452,10/20/2020,f,45,2,14
4066631,10/20/2020,f,225,1,120
78127,10/22/2020,f,240,1,7
4719663,10/22/2020,f,99,6,1125
4734283,10/21/2020,t,240,2,14
4067158,10/20/2020,f,149,3,1125
78422,10/20/2020,f,65,1,10
78757,10/20/2020,f,125,2,365
4742900,10/20/2020,f,599,60,1125
4067897,10/22/2020,f,189,2,365
78831,10/22/2020,f,109,2,14
4756372,10/22/2020,t,685,4,90
4076557,10/22/2020,f,125,2,1125
78884,10/20/2020,f,80,2,1125
4759081,10/20/2020,f,130,2,1125
79100,10/24/2020,f,125,4,1125
4764568,10/24/2020,f,498,2,7
79432,10/20/2020,t,119,30,45
79603,10/20/2020,f,150,2,15
4766360,10/20/2020,f,95,2,10
4077459,10/20/2020,f,150,30,352
4775925,10/21/2020,t,105,183,1125
79768,10/20/2020,f,225,4,30
4078567,10/22/2020,f,2100,3,1125
80725,10/20/2020,f,150,30,1125
4776659,10/20/2020,f,279,2,62
82033,10/20/2020,t,400,1,30
4795682,10/22/2020,f,75,3,365
4082265,10/20/2020,f,384,4,390
4808400,10/22/2020,f,300,2,365
83643,10/20/2020,f,47,2,14
84771,10/20/2020,f,81,2,30
4809429,10/22/2020,f,150,1,1125
4085163,10/20/2020,f,893,2,1125
89475,10/22/2020,f,329,30,365
4814446,10/22/2020,f,375,2,1125
104386,10/20/2020,f,70,31,180
4085926,10/24/2020,f,390,4,1125
4815071,10/20/2020,f,600,3,1125
109005,10/20/2020,f,78,3,1125
4091409,10/20/2020,t,129,2,1125
113779,10/22/2020,f,119,5,365
4820267,10/22/2020,f,155,3,500
113791,10/22/2020,f,60,30,365
4821958,10/23/2020,f,225,3,1125
4824833,10/20/2020,f,90,1,12
4092112,10/20/2020,f,97,1,1125
116014,10/23/2020,f,259,1,15
4839691,10/22/2020,f,600,4,1125
128326,10/22/2020,t,295,3,365
4095705,10/22/2020,f,120,,
140474,10/20/2020,f,136,5,365
4848222,10/20/2020,f,100,1,1125
140504,10/20/2020,f,119,5,365
4849820,10/20/2020,f,70,3,120
4102866,10/20/2020,f,375,2,1125
141550,10/20/2020,f,92,1,1125
4855450,10/20/2020,f,480,3,14
4103988,10/20/2020,f,600,2,1125
145210,10/20/2020,f,99,3,365
4856743,10/22/2020,f,104,2,1125
4112403,10/22/2020,f,189,2,30
4871772,10/22/2020,f,30,14,30
4117663,10/22/2020,f,400,2,3
154103,10/24/2020,f,450,3,60
4117827,10/22/2020,f,300,1,1125
4871898,10/20/2020,f,450,2,1125
155359,10/20/2020,f,90,90,1125
4881360,10/22/2020,f,833,2,1125
158398,10/22/2020,f,799,3,1125
4886509,10/20/2020,f,400,4,1125
166561,10/20/2020,f,79,2,45
4121482,10/20/2020,f,200,2,1115
4886987,10/20/2020,t,125,5,1125
167459,10/21/2020,f,800,3,14
4900223,10/24/2020,f,90,5,1125
4121676,10/22/2020,t,239,4,1125
172104,10/22/2020,f,75,3,14
4901443,10/20/2020,f,185,3,60
4134923,10/20/2020,f,135,7,25
174828,10/20/2020,f,239,2,365
184853,10/22/2020,f,150,30,730
4137101,10/20/2020,f,125,5,9
4905837,10/20/2020,f,150,1,1125
4906733,10/20/2020,f,57,2,1125
195674,10/22/2020,t,750,2,30
4141322,10/20/2020,f,150,1,1125
202187,10/22/2020,f,61,1,1125
4914582,10/20/2020,f,119,2,1125
5084388,10/20/2020,f,700,1,1125
4144319,10/24/2020,f,30,1,7
4931574,10/24/2020,f,399,2,1125
5085831,10/22/2020,f,449,3,1125
5086211,10/22/2020,f,91,3,180
4145599,10/20/2020,f,85,2,1125
4932506,10/22/2020,f,50,1,1125
5086356,10/22/2020,f,350,4,1125
4936914,10/20/2020,t,250,3,15
5090933,10/20/2020,f,795,2,30
4941458,10/22/2020,t,85,2,1125
5094445,10/20/2020,f,144,2,14
4148428,10/20/2020,t,450,1,1125
4942407,10/22/2020,f,60,30,120
4943050,10/22/2020,f,1350,1,1125
5102612,10/22/2020,t,500,1,1125
5103926,10/20/2020,f,225,3,30
4947590,10/22/2020,f,125,5,7
4948909,10/23/2020,f,500,90,365
5104248,10/20/2020,f,325,45,365
4150237,10/22/2020,f,650,1,1125
4955455,10/20/2020,t,95,2,1125
4151136,10/20/2020,f,50,1,14
5105066,10/24/2020,f,185,2,1125
4957726,10/20/2020,t,1099,1,30
4966325,10/20/2020,f,200,3,1125
5105770,10/20/2020,f,170,2,1125
4966926,10/20/2020,f,80,1,1125
4967450,10/20/2020,f,995,3,1125
4974255,10/20/2020,f,69,2,28
5106886,10/22/2020,f,400,3,1125
4151271,10/20/2020,f,136,2,90
5113279,10/22/2020,f,500,1,1125
4991727,10/22/2020,f,699,2,1125
5116645,10/24/2020,f,150,2,1125
4154464,10/20/2020,f,89,2,30
4994857,10/20/2020,f,250,2,30
5116729,10/20/2020,f,60,2,5
4998371,10/20/2020,f,99,15,35
5122138,10/20/2020,f,200,3,1125
4156208,10/22/2020,f,750,83,1125
5001074,10/20/2020,f,98,3,180
5122450,10/22/2020,f,175,3,1125
5122828,10/20/2020,f,3200,1,1125
5006191,10/22/2020,f,350,1,30
5123540,10/20/2020,f,895,3,7
5006217,10/20/2020,t,400,1,1125
4163685,10/20/2020,f,80,1,1125
5124417,10/20/2020,f,200,3,21
5007355,10/20/2020,f,61,1,60
5126439,10/22/2020,f,500,1,12
5011681,10/22/2020,f,130,3,1125
4164084,10/20/2020,f,99,2,90
5126932,10/20/2020,t,69,1,1125
5013929,10/24/2020,f,499,3,7
4164781,10/20/2020,t,99,2,1125
5132083,10/20/2020,f,85,28,28
5018747,10/20/2020,t,600,3,11
5136870,10/20/2020,f,900,4,18
5020354,10/22/2020,t,179,,
4171527,10/24/2020,f,250,2,1125
5148991,10/20/2020,f,175,3,1125
5153200,10/20/2020,f,199,2,1125
5021987,10/20/2020,f,125,4,1125
5154179,10/20/2020,f,40,1,1125
5022086,10/20/2020,f,500,4,30
4171708,10/20/2020,f,90,1,1125
5024067,10/23/2020,f,95,2,1125
5162827,10/20/2020,f,375,3,14
5028301,10/20/2020,f,225,1,1125
5164038,10/20/2020,f,45,5,1125
4171932,10/20/2020,f,98,2,14
5031470,10/22/2020,f,275,2,1125
5169702,10/20/2020,f,50,1,80
4172577,10/20/2020,f,150,3,30
5037417,10/20/2020,f,347,30,1125
5037508,10/21/2020,f,65,1,1125
5172784,10/20/2020,f,450,2,1125
4174180,10/20/2020,f,125,7,28
5173181,10/20/2020,t,79,2,180
5179186,10/21/2020,t,130,1,14
5046776,10/20/2020,t,2100,2,30
4174762,10/22/2020,f,538,2,365
5047200,10/20/2020,f,436,2,1125
5192062,10/22/2020,f,450,3,1125
4174892,10/24/2020,f,368,1,365
5047878,10/20/2020,f,545,1,1125
5194094,10/22/2020,f,700,1,1125
5194948,10/22/2020,f,110,30,1125
4179345,10/22/2020,f,300,,
5049688,10/20/2020,f,200,2,1125
5195335,10/22/2020,f,60,,
5050692,10/20/2020,t,105,2,1125
5051186,10/20/2020,f,600,2,1125
5195484,10/20/2020,f,304,2,1125
4182298,10/24/2020,f,250,1,1125
5200329,10/20/2020,f,75,2,30
5060912,10/22/2020,t,386,2,1125
5067130,10/22/2020,f,190,,
5200720,10/24/2020,f,550,1,1125
5077502,10/22/2020,f,169,,
5205243,10/20/2020,f,140,2,14
5205396,10/20/2020,f,110,2,1125
5078787,10/20/2020,f,175,2,23
5081777,10/20/2020,f,50,1,1125
5083004,10/22/2020,f,95,1,1125
4184049,10/20/2020,f,156,2,30
5211169,10/20/2020,t,30,99,99
5083889,10/22/2020,f,299,2,1125
5217975,10/20/2020,f,325,2,7
5372075,10/20/2020,f,67,1,14
5221313,10/20/2020,f,300,2,1125
5372230,10/22/2020,f,400,1,1125
4186778,10/22/2020,t,291,1,365
5221542,10/24/2020,f,406,3,1125
5372341,10/21/2020,f,65,1,1125
4190925,10/24/2020,f,250,1,1125
5372361,10/20/2020,f,1038,2,30
5223967,10/20/2020,t,274,31,31
5226944,10/22/2020,f,700,4,1125
4191216,10/20/2020,t,123,1,365
5227430,10/20/2020,f,200,1,1125
5374761,10/22/2020,f,210,2,2
4194649,10/24/2020,f,300,3,1125
5230543,10/23/2020,f,350,3,360
5375637,10/20/2020,f,105,14,365
5380952,10/20/2020,f,75,2,11
5235691,10/20/2020,t,1000,2,1125
5385823,10/20/2020,t,200,1,1125
5385856,10/20/2020,t,400,1,1125
5239779,10/22/2020,f,500,2,10
4194853,10/20/2020,f,118,1,365
5241591,10/22/2020,f,100,5,15
5386787,10/20/2020,f,187,2,1125
4195180,10/20/2020,t,118,1,365
5387815,10/22/2020,f,425,1,1125
5245916,10/20/2020,f,900,1,1125
5391565,10/21/2020,f,265,3,1125
4196884,10/20/2020,t,170,1,1125
5246084,10/22/2020,f,220,2,15
5392673,10/20/2020,f,400,2,1125
4198303,10/21/2020,f,99,2,1125
5247943,10/21/2020,t,299,1,1125
5394189,10/20/2020,f,100,1,7
5248080,10/21/2020,f,103,4,1125
4198456,10/22/2020,t,745,3,1125
5395422,10/22/2020,t,375,,
5251446,10/20/2020,f,900,1,14
4199426,10/22/2020,f,500,1,1125
5396676,10/24/2020,f,117,2,30
5251485,10/23/2020,f,60,2,9
5396712,10/20/2020,t,1200,1,1125
5251600,10/20/2020,f,999,3,6
4202378,10/22/2020,f,125,2,1125
5401641,10/20/2020,f,1200,4,28
4204808,10/20/2020,f,250,2,1125
5251742,10/22/2020,f,51,6,30
5402363,10/22/2020,f,225,1,1125
5252863,10/20/2020,f,500,3,10
4207963,10/23/2020,t,500,1,1125
5404780,10/22/2020,f,299,,
5256666,10/22/2020,f,460,1,1125
5405183,10/20/2020,f,1000,1,1125
4208941,10/20/2020,f,70,2,21
5406277,10/20/2020,f,239,5,1125
5256761,10/20/2020,f,369,7,1125
4217792,10/20/2020,t,2500,2,1125
5257816,10/20/2020,f,275,3,1125
5412574,10/20/2020,f,550,3,1125
5414027,10/22/2020,f,200,3,1125
5257917,10/22/2020,t,208,1,365
5415038,10/20/2020,f,500,2,1125
5415285,10/20/2020,f,269,2,1125
5258176,10/24/2020,f,259,1,365
4218221,10/24/2020,t,400,2,4
5415298,10/22/2020,f,175,,
5259693,10/20/2020,f,245,2,14
5259718,10/20/2020,f,510,3,1125
5419307,10/20/2020,f,78,1,1125
4218296,10/22/2020,f,400,1,1125
4219019,10/21/2020,f,60,2,7
5420650,10/20/2020,f,675,2,1125
5260692,10/20/2020,t,225,3,1125
5260774,10/22/2020,f,249,4,1125
5420745,10/20/2020,f,55,2,31
5420782,10/20/2020,t,175,2,1125
4224100,10/20/2020,f,150,30,240
5260962,10/22/2020,f,79,2,1125
5422314,10/20/2020,f,295,1,1125
4224760,10/20/2020,f,80,1,1125
5262010,10/20/2020,f,140,2,1125
5266956,10/22/2020,f,799,1,1125
5422964,10/20/2020,f,490,3,11
5423839,10/20/2020,f,550,1,1125
5267853,10/24/2020,f,129,1,1125
5423999,10/20/2020,f,425,3,1125
5424528,10/22/2020,f,150,1,1125
5429585,10/20/2020,f,75,1,1125
5270610,10/22/2020,f,55,60,365
5270718,10/20/2020,f,250,1,1125
5270815,10/22/2020,f,999,1,1125
4225262,10/22/2020,f,350,2,1125
5272399,10/20/2020,f,177,2,30
5430429,10/20/2020,f,375,2,1125
5431978,10/20/2020,f,100,1,1125
4226176,10/22/2020,f,175,1,1125
